src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
127.0.0.1,127.0.0.1,41188,3306,6,2026-03-31 14:45:22,0.0001097,1276207.839562443,27347.31084776664,18231.54056517776,9115.77028258888,2.0,1.0,96.0,44.0,48.0,48.0,48.0,0.0,44.0,44.0,44.0,0.0,48.0,44.0,46.66666666666666,1.8856180831641267,3.555555555555556,40.0,20.0,20.0,0.0,5.485e-05,0.0001097,0.0,5.485e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,1,0,1,0,0,0.5,46.66666666666666,1024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,44.0,0,2.0,1.0,96.0,44.0
127.0.0.1,127.0.0.1,41188,199,6,2026-03-31 14:45:22,5.58e-05,2508960.5734767024,53763.44086021505,35842.29390681004,17921.14695340502,2.0,1.0,96.0,44.0,48.0,48.0,48.0,0.0,44.0,44.0,44.0,0.0,48.0,44.0,46.66666666666666,1.8856180831641267,3.555555555555556,40.0,20.0,20.0,0.0,2.79e-05,5.58e-05,0.0,2.79e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,1,0,1,0,0,0.5,46.66666666666666,1024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,44.0,0,2.0,1.0,96.0,44.0
127.0.0.1,127.0.0.1,41188,53,6,2026-03-31 14:45:22,5.58e-05,2508960.5734767024,53763.44086021505,35842.29390681004,17921.14695340502,2.0,1.0,96.0,44.0,48.0,48.0,48.0,0.0,44.0,44.0,44.0,0.0,48.0,44.0,46.66666666666666,1.8856180831641267,3.555555555555556,40.0,20.0,20.0,0.0,2.79e-05,5.58e-05,0.0,2.79e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,1,0,1,0,0,0.5,46.66666666666666,1024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,44.0,0,2.0,1.0,96.0,44.0
127.0.0.1,127.0.0.1,41188,1720,6,2026-03-31 14:45:22,5.53e-05,2531645.569620253,54249.54792043399,36166.36528028933,18083.182640144663,2.0,1.0,96.0,44.0,48.0,48.0,48.0,0.0,44.0,44.0,44.0,0.0,48.0,44.0,46.66666666666666,1.8856180831641267,3.555555555555556,40.0,20.0,20.0,0.0,2.765e-05,5.53e-05,0.0,2.765e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,1,0,1,0,0,0.5,46.66666666666666,1024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,44.0,0,2.0,1.0,96.0,44.0
127.0.0.1,127.0.0.1,41188,139,6,2026-03-31 14:45:22,4.42e-05,3167420.8144796384,67873.30316742082,45248.86877828054,22624.43438914027,2.0,1.0,96.0,44.0,48.0,48.0,48.0,0.0,44.0,44.0,44.0,0.0,48.0,44.0,46.66666666666666,1.8856180831641267,3.555555555555556,40.0,20.0,20.0,0.0,2.21e-05,4.42e-05,0.0,2.21e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,1,0,1,0,0,0.5,46.66666666666666,1024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,44.0,0,2.0,1.0,96.0,44.0
192.168.1.666,192.168.1.666,9999,5555,17,1775024575.1405134,48.59105434363227,42425072.5659,951091.4769138312,1125102.9266091676,553512.6351536539,16887.94181313279,17915.79038881483,19671.173452624284,28474.627382280432,32301.456218068302,1471.87018112839,22027.65589208979,66043.26431582429,54800.821752552445,810.5789030941684,24359.8431692062,2657.315259435734,28045.7634955014,833.092444421248,55856.29704175002,15.250602691595116,38.954657538152375,557.0257476486726,172.80608047632566,299.090028295657,17091.7682121098,0.3020161205558508,4.655687311609281,4.419934693996695,2.6501591154367365,4.377698064275127,3.869047917280555,1.3485588033474827,0.2661522688256629,3.5422616267330413,0.5250298335557324,3.642169319928249,0.8001491959655638,0.5899013006314535,1.2810502801439116,1,1,1,0,0,1,1,0,1,1,1,6.302289895253738,488.9246917735869,1,99999,0.21141258632435644,0.9056589020942862,0.8154364666778192,0.8173090001083825,0.17910244755931182,0.41388377564565604,0.043818113159507566,0.7631148455323122,5399.826625965893,22437.284235241677,85377.47639397404,62538.24635338277,76705.74181054659,69897.16698015852,899.6791001374656,604.9279161396503,1,33.35224630540298,17.4362458529785,1119.0012966076583,361.81526832983093
192.168.1.666,192.168.1.666,5555,6666,17,1775024576.1585932,49.313967313973166,48686322.32068533,1526800.249400555,1074954.8890786474,244416.80678877313,6742.056591552526,38025.42158982793,29275.68462408811,22233.516829657405,53728.03226456002,870.1944036961031,17139.656497023854,28167.533132735716,53853.97713620202,1336.315537622067,42479.624030283034,85144.88048396808,43685.05992631014,1297.2774682172026,29379.9413536133,16.24847581479303,30.996364544879935,727.0731181760913,217.5282605215927,288.736132264322,77480.51839024575,3.3633784637405584,1.8695493593210721,1.9344307330511064,1.915739759172338,3.8826562422658855,0.39938190055552103,4.085383011386002,2.1969193544360803,2.0912474540530757,2.7352587958485985,2.4254174637074777,1.0966082344320287,2.2447052404400543,2.2446843192862254,1,1,1,1,1,0,1,1,1,1,0,8.664450132838105,754.5428216272999,99999,99999,0.2506845736197201,0.46937101269161985,0.39142597210215946,0.8673316785104795,0.4919817902339121,0.9482583980410856,0.7051821029931589,0.47096209782717935,63341.859423840615,15103.149840192698,61105.32975334696,92035.33006014377,52957.135923828384,93796.255937455,848.6393053757852,827.7153979314949,0,35.793943209290475,18.809682781275328,635.8910151058403,624.5532094017715
192.168.1.666,192.168.1.666,9999,5555,17,1775024577.1676064,48.097056304082656,37593589.22488883,834073.6254445463,1216347.4890366795,432811.71307760925,25119.321713126872,31921.565671911478,38910.02754573894,25128.466020339947,24161.467130515164,1432.0184399861655,24400.7376648535,17773.459649211814,56760.07998766957,1174.9346161813692,43677.75108114857,74234.09809539496,44859.61050331327,1378.5934225807355,63042.36071400612,33.85929100805847,61.23748002811432,359.9427427437889,204.91666065425005,173.22865752298782,3405.6420964495405,0.657197581855889,0.828128657528675,0.7346134098299884,4.344873054960725,2.210222774073951,2.701536028707399,1.2971044705201469,4.662021484120648,2.266322496022565,4.340155951212862,0.1394486361996844,3.957728058026615,4.828454866287225,0.8978625676249186,1,1,1,1,1,1,1,1,1,1,1,8.834669747450032,582.9639018978941,1,99999,0.835258637961596,0.3967313742469889,0.03765406552169048,0.5354632354118538,0.16921788839796803,0.32062335180996215,0.4378911720719546,0.8964682598824193,78122.43496946571,60562.0826307096,20885.496068177028,58587.32886752359,19380.74163679289,13379.990581452901,474.0334462420537,699.4029626343745,1,32.4060350955955,9.721083690800302,1264.0529018279212,701.3539052720862
192.168.1.666,192.168.1.666,6666,5555,17,1775024821.2570152,39.889717147241896,422583558.496732,31589076.828781158,20321295.1745239,12201243.567558616,8772.104029384442,38466.42407591754,38354.324041554755,39317.16206850427,33804.4980438456,945.6903816800461,63019.71698050624,1210121.5060124963,61581.84323976998,1013.7777883691739,27914.06623101156,1635515.9917313675,23646.401218549305,1274.4110256380327,10664.741043114498,514.2901504799336,422.1388095563188,14153.095498065253,1753.069964895539,4958.962427041644,878782.2432490697,0.7261819733701858,0.3503483099009913,2.871515284834998,0.0957992007451558,0.386300310866704,2.2935628882409507,3.0903581921850884,1.8573213640076185,2.3085167107440165,3.538856338224876,4.173745909470693,4.241019548555307,3.6975061814085945,2.454088624085306,1,0,0,1,1,1,0,0,0,0,1,99.49516322986015,7449.389538167477,1,0,0.017527225802090873,0.31059200954368527,0.168275086266651,0.2579613862381853,0.5100354084391209,0.009734237170453852,0.9965050300205157,0.7626789823302655,591972.0286713843,722000.1306454412,1312998.571551083,464972.49529716634,973041.6463910085,1612482.0963985254,17093.199384576918,14761.050739838322,1,256.5043258480924,326.30720254028034,9823.677172759275,8149.77446476591
192.168.1.666,192.168.1.666,6666,4444,17,1775024822.2708206,30.43944931817357,466430195.0155442,17543950.5519404,35793442.584361464,12823871.95432326,41247.22385408495,40178.86673422495,18366.879117389344,33444.8277625069,51027.517049375296,821.3995092291069,16008.150852606313,696387.2115251912,38538.5918992644,820.9147281653896,19528.15249684412,435579.9600758495,14478.54725182656,801.8303151520286,35617.77741696111,193.64415906630066,786.8412604107845,7767.3419430038875,2728.139091971437,5770.3930735655795,423143.34603752743,4.511187758067995,2.0196283236417925,1.9145283609136592,3.4012053432295044,1.319303550567839,3.6349796975302118,3.744731020927948,3.196061436851465,0.5062675057709509,1.4064456284221523,2.626629710501835,0.45971912483311395,0.8415360719712067,3.497793035835832,1,1,1,0,0,1,1,1,1,1,0,45.85036132727503,4141.990888688378,0,0,0.6909284014922479,0.15733156875436805,0.4823520319612621,0.8919464039565975,0.9361213607757101,0.941987634943836,0.44033174539562225,0.37599188813976603,1009198.5736212081,468940.36047329346,1534726.1057800148,643517.1959567792,865530.7130071017,711019.1579723092,5803.256680977949,7559.839175076321,1,280.7670628976848,272.833549827854,7527.562569414944,9554.314047169788
